frame,cx,cy,radius,red_x,red_y,blue_x,blue_y
501,316,192,37,315,213,-1,-1
502,316,192,37,318,215,-1,-1
503,315,192,36,322,217,-1,-1
504,316,192,37,325,218,-1,-1
505,315,193,38,330,219,-1,-1
506,315,193,38,333,219,-1,-1
507,315,193,38,334,220,-1,-1
508,315,193,38,-1,-1,-1,-1
509,315,193,38,-1,-1,-1,-1
510,316,194,37,-1,-1,-1,-1
511,316,194,37,-1,-1,-1,-1
512,316,194,37,-1,-1,-1,-1
513,316,194,37,-1,-1,-1,-1
514,316,194,36,-1,-1,-1,-1
515,316,194,36,-1,-1,-1,-1
516,316,194,36,-1,-1,-1,-1
517,316,194,36,-1,-1,-1,-1
518,316,194,38,-1,-1,-1,-1
519,316,193,38,-1,-1,-1,-1
520,316,194,38,-1,-1,-1,-1
521,316,194,36,-1,-1,-1,-1
522,316,194,38,-1,-1,-1,-1
523,316,194,37,-1,-1,-1,-1
524,316,194,38,327,164,-1,-1
525,315,194,38,323,164,-1,-1
526,315,194,38,319,164,-1,-1
527,315,194,38,315,166,-1,-1
528,315,194,38,311,168,-1,-1
529,316,194,37,308,171,-1,-1
530,315,194,37,305,174,-1,-1
531,315,194,37,303,178,-1,-1
532,315,194,36,301,183,-1,-1
533,315,194,36,300,188,-1,-1
534,314,195,38,300,193,-1,-1
535,315,194,36,301,198,-1,-1
536,315,195,38,302,203,-1,-1
537,314,196,37,304,207,-1,-1
538,314,196,37,306,211,-1,-1
539,314,196,37,309,215,-1,-1
540,314,196,36,313,218,-1,-1
541,314,196,36,316,220,-1,-1
542,314,196,37,320,223,-1,-1
543,314,196,37,324,223,-1,-1
544,313,196,36,327,222,-1,-1
545,314,196,38,332,221,-1,-1
546,314,196,38,-1,-1,-1,-1
547,314,196,38,-1,-1,-1,-1
548,314,196,38,-1,-1,-1,-1
549,314,196,37,-1,-1,-1,-1
550,314,196,37,-1,-1,-1,-1
551,314,197,38,-1,-1,-1,-1
552,314,196,37,-1,-1,-1,-1
553,314,196,37,-1,-1,-1,-1
554,314,196,37,-1,-1,-1,-1
555,314,196,37,-1,-1,-1,-1
556,314,196,36,-1,-1,-1,-1
557,314,196,36,-1,-1,-1,-1
558,314,196,37,-1,-1,-1,-1
559,314,196,37,-1,-1,-1,-1
560,314,196,37,-1,-1,-1,-1
561,314,196,36,-1,-1,-1,-1
562,313,197,38,323,167,-1,-1
563,314,197,38,320,167,-1,-1
564,313,197,38,315,167,-1,-1
565,314,197,38,311,168,-1,-1
566,313,197,38,307,171,-1,-1
567,313,197,38,304,174,-1,-1
568,313,197,38,301,178,-1,-1
569,314,197,37,298,182,-1,-1
570,314,196,36,297,187,-1,-1
571,313,197,38,296,192,-1,-1
572,314,198,37,296,197,-1,-1
573,313,198,37,297,202,-1,-1
574,314,198,37,298,207,-1,-1
575,313,198,37,300,211,-1,-1
576,312,198,38,304,215,-1,-1
577,314,198,37,307,219,-1,-1
578,314,198,36,310,221,-1,-1
579,313,198,38,315,223,-1,-1
580,312,198,37,319,225,-1,-1
581,314,198,37,324,225,-1,-1
582,313,197,38,329,225,-1,-1
583,313,198,38,333,223,-1,-1
584,313,198,38,-1,-1,-1,-1
585,313,198,38,-1,-1,-1,-1
586,313,198,38,-1,-1,-1,-1
587,313,198,38,-1,-1,-1,-1
588,314,198,37,-1,-1,-1,-1
589,314,198,37,-1,-1,-1,-1
590,314,198,37,-1,-1,-1,-1
591,314,198,37,-1,-1,-1,-1
592,314,198,37,-1,-1,-1,-1
593,314,198,37,-1,-1,-1,-1
594,313,198,37,-1,-1,-1,-1
595,314,198,37,-1,-1,-1,-1
596,313,198,38,-1,-1,-1,-1
597,313,198,38,332,171,-1,-1
598,313,198,38,328,169,-1,-1
599,313,198,38,324,168,-1,-1
600,313,198,38,320,167,-1,-1
601,313,198,38,315,167,-1,-1
602,313,198,38,310,168,-1,-1
603,312,198,38,306,170,-1,-1
604,314,198,36,303,173,-1,-1
605,313,198,38,299,177,-1,-1
606,313,198,38,297,181,-1,-1
607,313,198,37,295,186,-1,-1
608,312,198,38,294,191,-1,-1
609,312,198,38,293,196,-1,-1
610,312,198,38,294,201,-1,-1
611,312,198,38,295,206,-1,-1
